Average Overall Rank,Average Ladder Score,Average GDP,Average life Expectancy,Average Social Support,Average Freedom,Average Generosity,Average Perceptions of Corruption,Regional indicator,Country/Area
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,Central\ and\ Eastern\ Europe Commonwealth\ of\ Independent\ States East\ Asia Latin\ America\ and\ Caribbean Middle\ East\ and\ North\ Africa North\ America\ and\ ANZ South\ Asia Southeast\ Asia Sub-Saharan\ Africa Western\ Europe,string
,,,,,,,,class,meta
0.008714596949891068,0.9951064829485863,0.7518382581453079,0.8611393356841915,0.9560943072522526,0.9396117230875644,0.3003410872222332,0.6948656321707308,Western Europe,Finland
0.008658373743762738,0.98115316007683,0.7764385146665286,0.8562517050251409,0.9547141252999127,0.9427291806422528,0.44802348171385703,0.7254111001498159,Western Europe,Denmark
0.006507836109354136,0.9816246362225828,0.8432397157803401,0.8647251238121801,0.950168354660642,0.9549694478890315,0.46300540769323595,0.5910881745157045,Western Europe,Norway
0.01734485909058964,0.9678884793144321,0.7741251222196724,0.8946165375542575,1.0,0.9399533486539875,0.594387412619533,0.2430475071397696,Western Europe,Iceland
0.030360531309297913,0.9545032030213992,0.7852161617369361,0.8668000225179275,0.8791096354936218,0.8812149253496893,0.5623847134182647,0.5205392632081779,Western Europe,Netherlands
0.026031344437416542,0.9655826491940168,0.8192228682039934,0.9151400353754314,0.9210968236376852,0.9180444624492131,0.41314812577478643,0.6348713490325716,Western Europe,Switzerland
0.047705390399887554,0.9282695027877694,0.7803762715059182,0.8883796582217384,0.8866078676746821,0.9148301352399214,0.4693941580147294,0.678098642284306,Western Europe,Sweden
0.04555485276547896,0.928505460443415,0.7301936552422226,0.8761551742554273,0.9522760010675994,0.9260139016718033,0.5966726932574807,0.6841137282288932,North America and ANZ,New Zealand
0.04340431513107035,0.926814346480724,0.7684923806432623,0.8928150009180268,0.9006875488961947,0.9162836169620533,0.5200044644870662,0.5299454374896947,North America and ANZ,Canada
0.06940754796542274,0.8888419741331578,0.7742476825071901,0.877691603303798,0.8788723749334472,0.8486407254861498,0.40446524908429843,0.39966787716119795,Western Europe,Austria
0.060749174221659985,0.9169124072706204,0.7726878266172461,0.8998433391377607,0.9316213978221827,0.8941193108456501,0.5867490273970346,0.53028306100146,North America and ANZ,Australia
0.0737367348373041,0.8836033840486169,0.5704647888891214,0.8181410711221643,0.8452185820292729,0.8760932882966986,0.24987537774121438,0.17396731859643633,Latin America and Caribbean,Costa Rica
0.08663996064375572,0.8730089824365139,0.7237562492168809,0.8869449624471571,0.8640113829770764,0.6376475343932534,0.482320681251913,0.2122016981609046,Middle East and North Africa,Israel
0.09976807927472064,0.85101434297613,0.9141914191419142,0.8886245422998288,0.8835207534715531,0.8679465603707394,0.3361366248403484,0.5684197995857627,Western Europe,Luxembourg
0.09122215194321455,0.857408463588398,0.7398879599628675,0.8673487041472977,0.8882846205517362,0.7007336004506787,0.546983777398412,0.4224501927145256,Western Europe,United Kingdom
0.09113781713402207,0.858905565199084,0.8279542197773981,0.8658179488341803,0.9492739129647613,0.8415950642844178,0.5168015649709049,0.544326112276058,Western Europe,Ireland
0.09764565324337621,0.8535601980423687,0.7736097314064212,0.8535492388966032,0.868669832981734,0.811522293925357,0.4396307842636317,0.4869995501044715,Western Europe,Germany
0.10415348935273033,0.8420365287400706,0.7624676120568789,0.8708895748532753,0.8821826043363457,0.7863971694438576,0.2910996581117611,0.41496828727982943,Western Europe,Belgium
0.10409726614660202,0.844222490718546,0.8077593316302867,0.797989674106828,0.8538509371847941,0.7411265843119229,0.4832502684754636,0.23589730040992762,North America and ANZ,United States
0.1323353714245555,0.801328063219667,0.7064572906236121,0.8160362057501612,0.8709417147143702,0.7329497408975763,0.0978084658423705,0.06429501184616852,Central and Eastern Europe,Czech Republic
0.12800618455267412,0.8066060675775913,0.9540448618620422,0.7177307572904791,0.5870298737949665,0.7462506826644639,0.40153800052667293,0.5503166908974335,Middle East and North Africa,United Arab Emirates
0.1475578044838007,0.7803052245769447,0.7172749908526792,0.8727329654024354,0.9050627877745671,0.8900466242154491,0.6590270706724267,0.26833280868972625,Western Europe,Malta
0.14968023051514512,0.7646100664131303,0.5915444259446483,0.7524357981626947,0.699709513500257,0.6482276371371455,0.13016456936229184,0.1807031086888855,Latin America and Caribbean,Mexico
0.1627802375430459,0.7546745733071315,0.7438910707184313,0.9020145232614389,0.8476627396188752,0.699886034899642,0.17160880246792118,0.31716651326879824,Western Europe,France
0.1474734696746082,0.7580656213235083,0.64598901148268,0.8236563092303703,0.7540199392064219,0.5661656529726266,0.3498657098262221,0.12061584591736542,Latin America and Caribbean,Chile
0.18001265022137888,0.7366043061984858,0.43476024242825884,0.6086549129469278,0.7013857565495392,0.8246723528850367,0.3155932274282989,0.13650152887472736,Latin America and Caribbean,Guatemala
0.2060721062618596,0.7234594593235677,0.7950679467656102,0.6487580972563803,0.7514002658926954,0.685357134647215,0.16045310609809024,0.33576458153622474,Middle East and North Africa,Saudi Arabia
0.21034506992761262,0.7218706856116431,0.7194590219425927,0.9414506720134183,0.9107124419549647,0.5943185233003826,0.2448818570383083,0.13370791023574088,Western Europe,Spain
0.18445428350551688,0.7314498148042653,0.6368761034329896,0.7647472783904702,0.8277761803199515,0.8212334872643767,0.21761611184080612,0.11169549406815331,Latin America and Caribbean,Panama
0.17135427647761614,0.7423103215879113,0.5596311643826409,0.6739614982949571,0.852802137569018,0.6453141112010067,0.18419191086507122,0.17237027222517531,Latin America and Caribbean,Brazil
